Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=64, valid_batch_size=64)
Using GPU : 0 from 1 devices
Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=96, valid_batch_size=96)
Using GPU : 0 from 1 devices
Valid 101 epoch, Acc: 0.946436, MPJPE2D: 6.260595, MPJPE3D: 71.779050
Valid 102 epoch, Acc: 0.948682, MPJPE2D: 6.146293, MPJPE3D: 70.718760
Valid 103 epoch, Acc: 0.946541, MPJPE2D: 6.304861, MPJPE3D: 71.757018
Valid 104 epoch, Acc: 0.948804, MPJPE2D: 6.175004, MPJPE3D: 70.420612
Valid 105 epoch, Acc: 0.946865, MPJPE2D: 6.240671, MPJPE3D: 71.243584
Valid 106 epoch, Acc: 0.947906, MPJPE2D: 6.165742, MPJPE3D: 70.416557
Valid 107 epoch, Acc: 0.948381, MPJPE2D: 6.222559, MPJPE3D: 70.836224
Valid 108 epoch, Acc: 0.947871, MPJPE2D: 6.202778, MPJPE3D: 70.849319
Valid 109 epoch, Acc: 0.946696, MPJPE2D: 6.259389, MPJPE3D: 71.380362
Valid 110 epoch, Acc: 0.946945, MPJPE2D: 6.221736, MPJPE3D: 71.292541
Valid 111 epoch, Acc: 0.947317, MPJPE2D: 6.220649, MPJPE3D: 70.954185
Valid 112 epoch, Acc: 0.946381, MPJPE2D: 6.258104, MPJPE3D: 71.621029
Valid 113 epoch, Acc: 0.947975, MPJPE2D: 6.235164, MPJPE3D: 71.223726
Valid 114 epoch, Acc: 0.948369, MPJPE2D: 6.154365, MPJPE3D: 70.361877
Valid 115 epoch, Acc: 0.948026, MPJPE2D: 6.189271, MPJPE3D: 70.701086
Valid 116 epoch, Acc: 0.947734, MPJPE2D: 6.220732, MPJPE3D: 71.295150
Valid 117 epoch, Acc: 0.947896, MPJPE2D: 6.180652, MPJPE3D: 70.506784
Valid 118 epoch, Acc: 0.948512, MPJPE2D: 6.176584, MPJPE3D: 70.743141
Valid 119 epoch, Acc: 0.948305, MPJPE2D: 6.163472, MPJPE3D: 70.499333
Valid 120 epoch, Acc: 0.948840, MPJPE2D: 6.156728, MPJPE3D: 70.499109
Valid 121 epoch, Acc: 0.946872, MPJPE2D: 6.213730, MPJPE3D: 70.923831
Valid 122 epoch, Acc: 0.948424, MPJPE2D: 6.149032, MPJPE3D: 70.485035
Valid 123 epoch, Acc: 0.947314, MPJPE2D: 6.226597, MPJPE3D: 71.399539
Valid 124 epoch, Acc: 0.948162, MPJPE2D: 6.189045, MPJPE3D: 70.835127
